k,alpha,isoId,classification
5,0.500,PH-012,Cow
6,0.500,PH-012,Cow
7,0.500,PH-012,Cow
8,0.500,PH-012,Cow
1,0.900,PH-012,null
2,0.900,PH-012,null
3,0.900,PH-012,null
4,0.900,PH-012,null
5,0.900,PH-012,null
6,0.900,PH-012,null
7,0.900,PH-012,null
8,0.900,PH-012,null
1,0.950,PH-012,null
2,0.950,PH-012,null
3,0.950,PH-012,null
4,0.950,PH-012,null
5,0.950,PH-012,null
6,0.950,PH-012,null
7,0.950,PH-012,null
8,0.950,PH-012,null
1,0.980,PH-012,null
2,0.980,PH-012,null
3,0.980,PH-012,null
4,0.980,PH-012,null
5,0.980,PH-012,null
6,0.980,PH-012,null
7,0.980,PH-012,null
8,0.980,PH-012,null
1,0.990,PH-012,null
2,0.990,PH-012,null
3,0.990,PH-012,null
4,0.990,PH-012,null
5,0.990,PH-012,null
6,0.990,PH-012,null
7,0.990,PH-012,null
8,0.990,PH-012,null
1,0.000,PH-011,null
2,0.000,PH-011,Cow
3,0.000,PH-011,Cow
4,0.000,PH-011,Cow
5,0.000,PH-011,Cow
6,0.000,PH-011,Cow
7,0.000,PH-011,Cow
8,0.000,PH-011,Cow
1,0.500,PH-011,null
2,0.500,PH-011,Cow
3,0.500,PH-011,Cow
4,0.500,PH-011,Cow
5,0.500,PH-011,Cow
6,0.500,PH-011,Cow
7,0.500,PH-011,Cow
8,0.500,PH-011,Cow
1,0.900,PH-011,null
2,0.900,PH-011,null
3,0.900,PH-011,null
4,0.900,PH-011,null
5,0.900,PH-011,null
6,0.900,PH-011,null
7,0.900,PH-011,null
8,0.900,PH-011,null
1,0.950,PH-011,null
2,0.950,PH-011,null
3,0.950,PH-011,null
4,0.950,PH-011,null
5,0.950,PH-011,null
6,0.950,PH-011,null
7,0.950,PH-011,null
8,0.950,PH-011,null
1,0.980,PH-011,null
2,0.980,PH-011,null
3,0.980,PH-011,null
4,0.980,PH-011,null
5,0.980,PH-011,null
6,0.980,PH-011,null
7,0.980,PH-011,null
8,0.980,PH-011,null
1,0.990,PH-011,null
2,0.990,PH-011,null
3,0.990,PH-011,null
4,0.990,PH-011,null
5,0.990,PH-011,null
6,0.990,PH-011,null
7,0.990,PH-011,null
8,0.990,PH-011,null
1,0.000,PH-031,null
2,0.000,PH-031,Cow
3,0.000,PH-031,Cow
4,0.000,PH-031,Cow
5,0.000,PH-031,Cow
6,0.000,PH-031,Cow
7,0.000,PH-031,Cow
8,0.000,PH-031,Cow
1,0.500,PH-031,null
2,0.500,PH-031,Cow
3,0.500,PH-031,Cow
4,0.500,PH-031,Cow
5,0.500,PH-031,Cow
6,0.500,PH-031,Cow
7,0.500,PH-031,Cow
8,0.500,PH-031,Cow
1,0.900,PH-031,null
2,0.900,PH-031,null
3,0.900,PH-031,null
4,0.900,PH-031,null
5,0.900,PH-031,null
6,0.900,PH-031,null
7,0.900,PH-031,null
8,0.900,PH-031,null
1,0.950,PH-031,null
2,0.950,PH-031,null
3,0.950,PH-031,null
4,0.950,PH-031,null
5,0.950,PH-031,null
6,0.950,PH-031,null
7,0.950,PH-031,null
8,0.950,PH-031,null
1,0.980,PH-031,null
2,0.980,PH-031,null
3,0.980,PH-031,null
4,0.980,PH-031,null
5,0.980,PH-031,null
6,0.980,PH-031,null
7,0.980,PH-031,null
8,0.980,PH-031,null
1,0.990,PH-031,null
2,0.990,PH-031,null
3,0.990,PH-031,null
4,0.990,PH-031,null
5,0.990,PH-031,null
6,0.990,PH-031,null
7,0.990,PH-031,null
8,0.990,PH-031,null
1,0.000,PH-030,null
2,0.000,PH-030,Cow
3,0.000,PH-030,Cow
4,0.000,PH-030,Cow
5,0.000,PH-030,Cow
6,0.000,PH-030,Cow
7,0.000,PH-030,Cow
8,0.000,PH-030,Cow
1,0.500,PH-030,null
2,0.500,PH-030,Cow
3,0.500,PH-030,Cow
4,0.500,PH-030,Cow
5,0.500,PH-030,Cow
6,0.500,PH-030,Cow
7,0.500,PH-030,Cow
